Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2007-08-13,1.80901,1.80901,1.80901,1.80901
2007-08-14,1.86101,1.86101,1.86101,1.86101
2007-08-16,1.80901,1.80901,1.80901,1.80901
2007-08-17,1.93257,1.93257,1.93257,1.93257
2007-08-20,1.9652,1.9652,1.9652,1.9652
2007-08-21,1.9652,1.9652,1.9652,1.9652
2007-08-22,2.09522,2.09522,2.09522,2.09522
2007-08-23,2.1083,2.1083,2.1083,2.1083
2007-08-24,2.12131,2.12131,2.12131,2.12131
2007-08-27,2.12131,2.12131,2.12131,2.12131
2007-08-28,2.1083,2.1083,2.1083,2.1083
2007-08-29,2.06267,2.06267,2.06267,2.06267
2007-08-30,2.0563,2.0563,2.0563,2.0563
2007-08-31,2.10176,2.10176,2.10176,2.10176
2007-09-03,2.10176,2.10176,2.10176,2.10176
2007-09-04,2.09522,2.09522,2.09522,2.09522
2007-09-05,2.09522,2.09522,2.09522,2.09522
2007-09-06,2.08876,2.08876,2.08876,2.08876
2007-09-07,2.08876,2.08876,2.08876,2.08876
2007-09-10,2.07576,2.07576,2.07576,2.07576
2007-09-11,2.0563,2.0563,2.0563,2.0563
2007-09-12,2.0042,2.0042,2.0042,2.0042
2007-09-13,1.9652,1.9652,1.9652,1.9652
2007-09-14,1.9652,1.9652,1.9652,1.9652
2007-09-17,2.01066,2.01066,2.01066,2.01066
2007-09-18,2.02366,2.02366,2.02366,2.02366
2007-09-19,2.0563,2.0563,2.0563,2.0563
2007-09-20,2.09522,2.09522,2.09522,2.09522
2007-09-21,2.10176,2.10176,2.10176,2.10176
2007-09-24,2.09522,2.09522,2.09522,2.09522
2007-09-25,2.10176,2.10176,2.10176,2.10176
2007-09-26,2.10176,2.10176,2.10176,2.10176
2007-09-27,2.08222,2.08222,2.08222,2.08222
2007-09-28,2.08222,2.08222,2.08222,2.08222
2007-10-01,2.10176,2.10176,2.10176,2.10176
2007-10-02,2.10176,2.10176,2.10176,2.10176
2007-10-03,2.06267,2.06267,2.06267,2.06267
2007-10-04,2.03683,2.03683,2.03683,2.03683
2007-10-05,1.98466,1.98466,1.98466,1.98466
2007-10-08,1.99766,1.99766,1.99766,1.99766
2007-10-09,2.01066,2.01066,2.01066,2.01066
2007-10-10,2.02366,2.02366,2.02366,2.02366
2007-10-11,2.04976,2.04976,2.04976,2.04976
2007-10-12,2.04321,2.04321,2.04321,2.04321
2007-10-15,2.04321,2.04321,2.04321,2.04321
2007-10-16,2.04321,2.04321,2.04321,2.04321
2007-10-17,2.0563,2.0563,2.0563,2.0563
2007-10-18,2.03683,2.03683,2.03683,2.03683
2007-10-19,2.0563,2.0563,2.0563,2.0563
2007-10-22,1.99766,1.99766,1.99766,1.99766
2007-10-23,2.03683,2.03683,2.03683,2.03683
2007-10-24,2.0302,2.0302,2.0302,2.0302
2007-10-25,2.03683,2.03683,2.03683,2.03683
2007-10-26,2.0302,2.0302,2.0302,2.0302
2007-10-29,2.03683,2.03683,2.03683,2.03683
2007-10-30,2.01066,2.01066,2.01066,2.01066
2007-10-31,2.02366,2.02366,2.02366,2.02366
2007-11-02,1.9782,1.9782,1.9782,1.9782
2007-11-05,1.95219,1.95219,1.95219,1.95219
2007-11-06,1.9782,1.9782,1.9782,1.9782
2007-11-07,1.97159,1.97159,1.97159,1.97159
2007-11-08,1.97159,1.97159,1.97159,1.97159
2007-11-09,1.91311,1.95865,1.90003,1.91956
2007-11-12,1.90003,1.91956,1.83509,1.91956
2007-11-13,1.90003,1.91956,1.88048,1.8871
2007-11-14,1.90003,1.90003,1.88048,1.88048
2007-11-15,1.88048,1.8871,1.79608,1.85455
2007-11-16,1.88048,1.8871,1.76354,1.85455
2007-11-19,1.90003,1.90003,1.81563,1.82855
2007-11-20,1.74392,1.74392,1.74392,1.74392
2007-11-21,1.75692,1.77654,1.66583,1.67874
2007-11-22,1.69844,1.783,1.65937,1.783
2007-11-23,1.783,1.82855,1.76992,1.82855
2007-11-26,1.783,1.82201,1.783,1.81563
2007-11-27,1.783,1.783,1.76354,1.783
2007-11-28,1.79608,1.82855,1.731,1.731
2007-11-29,1.73745,1.77654,1.73745,1.73745
2007-11-30,1.75692,1.82201,1.74392,1.82201
2007-12-03,1.82201,1.82201,1.77654,1.79608
2007-12-04,1.76992,1.79608,1.75054,1.79608
2007-12-05,1.76354,1.91956,1.76354,1.91956
2007-12-06,1.91956,1.91956,1.88048,1.91311
2007-12-07,1.88048,1.90656,1.87418,1.88048
2007-12-10,1.88048,1.8871,1.86755,1.86755
2007-12-11,1.86755,1.8871,1.79608,1.79608
2007-12-12,1.77654,1.783,1.72444,1.731
2007-12-13,1.75054,1.75054,1.6919,1.71137
2007-12-14,1.75692,1.75692,1.67874,1.68537
2007-12-17,1.74392,1.74392,1.6529,1.68537
2007-12-18,1.75692,1.75692,1.63973,1.63973
2007-12-19,1.69844,1.69844,1.62035,1.69844
2007-12-20,1.62673,1.62673,1.62673,1.62673
2007-12-21,1.66583,1.66583,1.61373,1.61373
2007-12-27,1.6919,1.6919,1.58127,1.62673
2007-12-28,1.6919,1.6919,1.57481,1.57481
2008-01-02,1.58789,1.6529,1.58789,1.63973
2008-01-03,1.6529,1.6529,1.58789,1.61373
2008-01-04,1.59427,1.6529,1.59427,1.60727
2008-01-07,1.60727,1.60727,1.56818,1.57481
2008-01-08,1.5618,1.57481,1.53572,1.54226
2008-01-09,1.54226,1.54226,1.4447,1.46408
2008-01-10,1.47716,1.47716,1.34707,1.34707
2008-01-11,1.38599,1.38599,1.32098,1.32751
2008-01-14,1.31444,1.31444,1.31444,1.31444
2008-01-15,1.32751,1.32751,1.30144,1.30144
2008-01-16,1.20388,1.28844,1.20388,1.23642
2008-01-17,1.2819,1.2819,1.23642,1.26227
2008-01-18,1.25604,1.30144,1.25604,1.28844
2008-01-21,1.29497,1.29497,1.23642,1.23642
2008-01-22,1.13233,1.33398,1.13233,1.33398
2008-01-23,1.35999,1.38599,1.26227,1.35999
2008-01-24,1.41861,1.41861,1.39253,1.40554
2008-01-25,1.40554,1.40554,1.36661,1.36661
2008-01-28,1.32098,1.32751,1.30144,1.30144
2008-01-29,1.35352,1.35352,1.32098,1.32751
2008-01-30,1.35352,1.35999,1.34036,1.34036
2008-01-31,1.34036,1.34036,1.26227,1.31444
2008-02-01,1.31444,1.32751,1.30144,1.31444
2008-02-04,1.33398,1.33398,1.31444,1.31444
2008-02-05,1.31444,1.32751,1.30144,1.30144
2008-02-06,1.28844,1.28844,1.25604,1.25604
2008-02-07,1.28844,1.28844,1.23642,1.25604
2008-02-08,1.2689,1.2689,1.24289,1.24934
2008-02-11,1.24934,1.2689,1.24934,1.26227
2008-02-12,1.2689,1.30144,1.26227,1.30144
2008-02-13,1.32751,1.36661,1.32098,1.35999
2008-02-14,1.38599,1.39907,1.35999,1.36661
2008-02-15,1.35999,1.37307,1.35999,1.36661
2008-02-18,1.36661,1.36661,1.35999,1.36661
2008-02-19,1.36661,1.37953,1.35999,1.36661
2008-02-20,1.31444,1.31444,1.26227,1.26227
2008-02-21,1.2819,1.28844,1.24289,1.24289
2008-02-22,1.24289,1.24289,1.19719,1.2168
2008-02-25,1.2168,1.2168,1.19079,1.21034
2008-02-26,1.22989,1.22989,1.19719,1.21034
2008-02-27,1.20388,1.21034,1.18425,1.19079
2008-02-28,1.2168,1.2168,1.19079,1.20388
2008-02-29,1.20388,1.20388,1.18425,1.18425
