,pbv_pko,pbv_peo,pbv_san,pbv_ing,pbv_mbk,wibor_3m,rentownosc_10y,eurpln,wig20,zmiennosc,target_y
2014-12-05,1.26413,0.997212,0.991617,1.32949,1.9565,2.06,2.553157895,4.156,2438.42,0.1060440827818712,0
2014-12-12,1.22777,0.973654,0.925536,1.28158,1.8774,2.06,2.553157895,4.1809,2360.0,0.1167073987529923,0
2014-12-19,1.18414,0.959558,0.950355,1.21987,1.9071,2.06,2.553157895,4.2638,2310.88,0.1602270938424131,1
2014-12-26,1.19144,0.954759,0.958538,1.25415,1.9466,2.06,2.553157895,4.3726,2323.04,0.1621961415644262,0
2015-01-02,1.19874,0.940672,0.950355,1.24044,1.9367,2.06,2.211,4.2991,2309.39,0.1635480486955966,0
2015-01-09,1.21326,0.931329,0.784996,1.25415,1.9565,2.05,2.211,4.2674,2337.21,0.2046278852245837,0
2015-01-16,1.11152,0.907768,0.884177,1.22673,1.749,2.03,2.211,4.3021,2252.33,0.2326985170846818,1
2015-01-23,1.11152,0.945416,0.933807,1.22673,1.8083,2.02,2.211,4.2008,2319.59,0.2199500432494289,0
2015-01-30,1.1551,0.945416,0.875991,1.21294,1.8182,2.0,2.211,4.1834,2341.0,0.2174898376193636,1
2015-02-06,1.12612,1.00655,0.917263,1.21294,1.6798,1.97,2.196,4.1566,2354.47,0.1728728765100172,0
2015-02-13,1.10429,0.96891,0.942079,1.21294,1.6403,1.94,2.196,4.1843,2346.95,0.1079712149747703,1
2015-02-20,1.08969,0.964174,0.999907,1.15817,1.6502,1.86,2.196,4.1663,2348.94,0.0734740726723769,1
2015-02-27,1.09699,0.954759,0.975084,1.15817,1.7292,1.81,2.196,4.1457,2367.1,0.0687193286563849,0
2015-03-06,1.14057,0.950097,0.975084,1.14454,1.6699,1.65,2.325454545,4.1279,2345.93,0.0930458430939581,1
2015-03-13,1.1551,0.964174,0.966809,1.1651,1.6601,1.65,2.325454545,4.1466,2303.4,0.1051114831408239,1
2015-03-20,1.17691,0.973654,1.00827,1.1651,1.7391,1.65,2.325454545,4.1333,2407.7,0.1284869385178119,0
2015-03-27,1.10429,0.945416,1.04125,1.15817,1.6502,1.65,2.325454545,4.0988,2373.18,0.1322823686765527,1
2015-04-03,1.11882,0.945416,1.06601,1.14454,1.6601,1.65,2.3675,4.0635,2400.65,0.1192419877152506,1
2015-04-10,1.11882,0.959558,1.04125,1.24044,1.7292,1.65,2.3675,4.0254,2443.62,0.1070433889795814,1
2015-04-17,1.18414,0.973654,0.983352,1.25407,1.7687,1.65,2.3675,4.0275,2463.96,0.1302656779461788,1
2015-04-24,1.18414,0.987805,0.975084,1.23997,1.8182,1.65,2.3675,4.0377,2519.2,0.1227650870342428,0
2015-05-01,1.18414,0.964174,0.867633,1.24714,1.6897,1.65,2.82,4.0731,2514.63,0.1288847023449331,1
2015-05-08,1.2423,0.997212,0.867633,1.3105,1.7589,1.66,2.82,4.0458,2546.78,0.1327566792896636,0
2015-05-15,1.13327,0.96891,0.859447,1.3246,1.7193,1.67,2.82,4.0402,2514.84,0.123379433683763,0
2015-05-22,1.14787,0.96891,0.867633,1.2964,1.6601,1.68,2.82,4.1077,2516.76,0.090585704244452,0
2015-05-29,1.04613,0.945416,0.842903,1.2964,1.6502,1.68,2.82,4.1106,2437.81,0.1026803396672612,0
2015-06-05,1.03883,0.903096,0.851174,1.21192,1.581,1.68,3.19,4.1607,2365.58,0.1059690413698484,0
2015-06-12,1.05343,0.91244,0.834717,1.23997,1.5909,1.71,3.19,4.1381,2358.73,0.1248006003734795,0
2015-06-19,0.995255,0.910911,0.826357,1.15549,1.5118,1.72,3.19,4.1842,2299.35,0.1368542786401355,1
2015-06-26,1.00978,0.950692,0.884177,1.15549,1.4921,1.72,3.19,4.1765,2333.82,0.1559912953118681,0
2015-07-03,0.966212,0.920787,0.875991,1.15549,1.4427,1.72,3.16,4.192,2278.17,0.1708254819233953,0
2015-07-10,0.995255,0.876129,0.826357,1.09907,1.4229,1.72,3.16,4.175,2270.84,0.184886862822809,1
2015-07-17,0.995255,0.900954,0.859447,1.09206,1.413,1.72,3.16,4.1094,2285.03,0.1833243612714152,0
2015-07-24,0.922642,0.82633,0.842903,1.04982,1.3043,1.72,3.16,4.143,2187.67,0.1986251620803801,1
2015-07-31,0.937241,0.84615,0.818086,1.12735,1.3735,1.72,3.16,4.1426,2227.51,0.1996782775355084,0
2015-08-07,0.864553,0.945755,0.818086,1.24714,1.2253,1.72,2.881904762,4.1835,2196.78,0.1999963326009905,1
2015-08-14,0.886373,0.950692,0.784996,1.27528,1.2944,1.72,2.881904762,4.1834,2198.22,0.2027988262132809,0
2015-08-21,0.900823,0.940736,0.751995,1.24714,1.245,1.72,2.881904762,4.2254,2179.73,0.173975781943133,1
2015-08-28,0.929942,0.945755,0.743808,1.21192,1.3241,1.72,2.881904762,4.2142,2145.12,0.2764169367941396,0
2015-09-04,0.929942,0.940736,0.677631,1.17661,1.334,1.72,2.910909091,4.2288,2146.47,0.2805700210276188,1
2015-09-11,0.95169,0.97065,0.702447,1.18371,1.3735,1.72,2.910909091,4.2074,2185.46,0.2802551703503887,0
2015-09-18,0.95169,0.935799,0.702447,1.1625,1.334,1.72,2.910909091,4.2054,2168.19,0.2787127411827331,0
2015-09-25,0.915343,0.930862,0.661085,1.1343,1.2846,1.72,2.910909091,4.2281,2091.73,0.1829771350159657,0
2015-10-02,0.915343,0.896083,0.594995,1.14847,1.2846,1.73,2.660909091,4.2478,2036.32,0.1569385676530562,1
2015-10-09,0.988042,0.905891,0.694088,1.22594,1.4031,1.73,2.660909091,4.2201,2143.28,0.1765671795626978,0
2015-10-16,0.95169,0.915848,0.702447,1.22594,1.4031,1.73,2.660909091,4.2364,2121.94,0.1720233418406554,0
2015-10-23,0.95169,0.915848,0.685904,1.21886,1.3933,1.73,2.660909091,4.2493,2107.43,0.1447755253542052,0
2015-10-30,0.908122,0.886002,0.694088,1.1625,1.2747,1.73,2.660909091,4.24994,2060.03,0.1430420183276426,0
2015-11-06,0.893523,0.861102,0.702447,1.09907,1.2253,1.73,2.726,4.2693,2019.78,0.1098048161180737,0
