Perm_Makro,PKO (q0),PEKAO_HUB (q1),SAN (q2),ING (q3),MBK (q4),AUC ROC,Accuracy,F1-Score
"(4, 0, 1, 2, 3)",PKO + zmiennosc,PEKAO + wibor_3m,SAN + rentownosc_10y,ING + eurpln,MBK + wig20,0.5504174397031539,0.5146771037181996,0.6265060240963856
"(4, 0, 3, 2, 1)",PKO + zmiennosc,PEKAO + wibor_3m,SAN + wig20,ING + eurpln,MBK + rentownosc_10y,0.5502009894867037,0.5283757338551859,0.6491994177583698
"(3, 1, 4, 2, 0)",PKO + wig20,PEKAO + rentownosc_10y,SAN + zmiennosc,ING + eurpln,MBK + wibor_3m,0.5442640692640692,0.5499021526418787,0.6676300578034682
"(4, 2, 1, 3, 0)",PKO + zmiennosc,PEKAO + eurpln,SAN + rentownosc_10y,ING + wig20,MBK + wibor_3m,0.5438311688311689,0.5303326810176126,0.6511627906976745
"(0, 2, 1, 3, 4)",PKO + wibor_3m,PEKAO + eurpln,SAN + rentownosc_10y,ING + wig20,MBK + zmiennosc,0.5422773654916512,0.5459882583170255,0.6484848484848484
"(0, 3, 4, 1, 2)",PKO + wibor_3m,PEKAO + wig20,SAN + zmiennosc,ING + rentownosc_10y,MBK + eurpln,0.542200061842919,0.5146771037181996,0.6487252124645893
"(3, 2, 0, 1, 4)",PKO + wig20,PEKAO + eurpln,SAN + wibor_3m,ING + rentownosc_10y,MBK + zmiennosc,0.5421304885590601,0.5283757338551859,0.6552217453505007
"(0, 3, 1, 4, 2)",PKO + wibor_3m,PEKAO + wig20,SAN + rentownosc_10y,ING + zmiennosc,MBK + eurpln,0.5410791589363018,0.5636007827788649,0.68188302425107
"(0, 4, 3, 2, 1)",PKO + wibor_3m,PEKAO + zmiennosc,SAN + wig20,ING + eurpln,MBK + rentownosc_10y,0.5405534941249226,0.5401174168297456,0.656934306569343
"(4, 3, 0, 2, 1)",PKO + zmiennosc,PEKAO + wig20,SAN + wibor_3m,ING + eurpln,MBK + rentownosc_10y,0.5405225726654298,0.5362035225048923,0.6619115549215406
"(4, 0, 1, 3, 2)",PKO + zmiennosc,PEKAO + wibor_3m,SAN + rentownosc_10y,ING + wig20,MBK + eurpln,0.5374613481756338,0.547945205479452,0.6617862371888726
"(4, 3, 1, 2, 0)",PKO + zmiennosc,PEKAO + wig20,SAN + rentownosc_10y,ING + eurpln,MBK + wibor_3m,0.537012987012987,0.538160469667319,0.6539589442815249
"(4, 0, 2, 1, 3)",PKO + zmiennosc,PEKAO + wibor_3m,SAN + eurpln,ING + rentownosc_10y,MBK + wig20,0.535482374768089,0.5362035225048923,0.6499261447562777
"(4, 2, 3, 0, 1)",PKO + zmiennosc,PEKAO + eurpln,SAN + wig20,ING + wibor_3m,MBK + rentownosc_10y,0.5334029066171924,0.5401174168297456,0.6559297218155198
"(4, 1, 2, 3, 0)",PKO + zmiennosc,PEKAO + rentownosc_10y,SAN + eurpln,ING + wig20,MBK + wibor_3m,0.5330550401978973,0.5322896281800391,0.6521106259097526
"(0, 4, 1, 3, 2)",PKO + wibor_3m,PEKAO + zmiennosc,SAN + rentownosc_10y,ING + wig20,MBK + eurpln,0.532900432900433,0.5401174168297456,0.656934306569343
"(2, 0, 4, 3, 1)",PKO + eurpln,PEKAO + wibor_3m,SAN + zmiennosc,ING + wig20,MBK + rentownosc_10y,0.5329004329004329,0.5283757338551859,0.6491994177583698
"(2, 4, 0, 3, 1)",PKO + eurpln,PEKAO + zmiennosc,SAN + wibor_3m,ING + wig20,MBK + rentownosc_10y,0.5315244279529994,0.5205479452054794,0.6464646464646465
"(3, 2, 1, 4, 0)",PKO + wig20,PEKAO + eurpln,SAN + rentownosc_10y,ING + zmiennosc,MBK + wibor_3m,0.5308673469387755,0.5342465753424658,0.6609686609686609
"(3, 2, 0, 4, 1)",PKO + wig20,PEKAO + eurpln,SAN + wibor_3m,ING + zmiennosc,MBK + rentownosc_10y,0.5305504019789734,0.5322896281800391,0.6590584878744651
"(0, 3, 1, 2, 4)",PKO + wibor_3m,PEKAO + wig20,SAN + rentownosc_10y,ING + eurpln,MBK + zmiennosc,0.5304112554112553,0.5342465753424658,0.6404833836858006
"(2, 4, 1, 3, 0)",PKO + eurpln,PEKAO + zmiennosc,SAN + rentownosc_10y,ING + wig20,MBK + wibor_3m,0.5304112554112553,0.5264187866927593,0.6472303206997084
"(4, 0, 2, 3, 1)",PKO + zmiennosc,PEKAO + wibor_3m,SAN + eurpln,ING + wig20,MBK + rentownosc_10y,0.5302566481137909,0.5205479452054794,0.6433770014556041
"(0, 1, 3, 2, 4)",PKO + wibor_3m,PEKAO + rentownosc_10y,SAN + wig20,ING + eurpln,MBK + zmiennosc,0.5298392084106369,0.5166340508806262,0.6340740740740741
"(3, 1, 0, 2, 4)",PKO + wig20,PEKAO + rentownosc_10y,SAN + wibor_3m,ING + eurpln,MBK + zmiennosc,0.5295299938157081,0.5459882583170255,0.6647398843930635
"(2, 3, 1, 4, 0)",PKO + eurpln,PEKAO + wig20,SAN + rentownosc_10y,ING + zmiennosc,MBK + wibor_3m,0.5286564625850341,0.538160469667319,0.6519174041297935
"(3, 0, 4, 2, 1)",PKO + wig20,PEKAO + wibor_3m,SAN + zmiennosc,ING + eurpln,MBK + rentownosc_10y,0.5281771799628943,0.5636007827788649,0.6836879432624113
"(0, 2, 3, 4, 1)",PKO + wibor_3m,PEKAO + eurpln,SAN + wig20,ING + zmiennosc,MBK + rentownosc_10y,0.528169449598021,0.5342465753424658,0.6590257879656161
"(2, 3, 1, 0, 4)",PKO + eurpln,PEKAO + wig20,SAN + rentownosc_10y,ING + wibor_3m,MBK + zmiennosc,0.5280921459492888,0.5166340508806262,0.6307922272047832
"(0, 2, 3, 1, 4)",PKO + wibor_3m,PEKAO + eurpln,SAN + wig20,ING + rentownosc_10y,MBK + zmiennosc,0.5278061224489795,0.5185909980430529,0.6392961876832844
"(0, 4, 1, 2, 3)",PKO + wibor_3m,PEKAO + zmiennosc,SAN + rentownosc_10y,ING + eurpln,MBK + wig20,0.5273500309214596,0.5264187866927593,0.6333333333333333
"(3, 2, 1, 0, 4)",PKO + wig20,PEKAO + eurpln,SAN + rentownosc_10y,ING + wibor_3m,MBK + zmiennosc,0.5259972170686456,0.5225048923679061,0.6411764705882353
"(2, 0, 1, 3, 4)",PKO + eurpln,PEKAO + wibor_3m,SAN + rentownosc_10y,ING + wig20,MBK + zmiennosc,0.5252473716759432,0.5244618395303327,0.6267281105990783
"(1, 0, 4, 2, 3)",PKO + rentownosc_10y,PEKAO + wibor_3m,SAN + zmiennosc,ING + eurpln,MBK + wig20,0.5249536178107607,0.5205479452054794,0.6293494704992436
"(3, 4, 1, 0, 2)",PKO + wig20,PEKAO + zmiennosc,SAN + rentownosc_10y,ING + wibor_3m,MBK + eurpln,0.5247990105132962,0.5283757338551859,0.6502177068214804
