0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.059,0.064,0.96,0.015,-0.0015,0.968,0.691,0.0665,-0.629,0.0685,0.023,0.941,0.1235,-0.0635,0.929
0.028,0.0585,0.985,0.008,0.029,0.988,0.9665,0.0475,-0.156,0.0545,0.0215,0.9555,0.2465,0.027,0.935
0.2475,0.4905,-0.1665,0.007,0.0535,-0.4295,0.4975,-0.2165,-0.2775,0.1145,0.3935,-0.2605,-0.1115,0.346,-0.2775
-0.074,0.11,0.029,0.008,0.0155,-0.0165,0.4785,0.0155,-0.0065,0.1315,0.074,0.024,-0.6245,0.044,0.006
-0.0035,-0.2235,0.0435,0.031,0.0115,0.3295,0.6465,0.212,0.1005,0.3505,-0.2185,0.0425,-0.2005,-0.2105,0.1555
0.3475,-0.2415,0.8965,-0.005,0.019,0.9845,0.0265,0.0455,0.9655,0.349,-0.761,0.4055,0.416,0.043,0.869
0.0785,0.043,0.7865,0.048,0.0005,0.787,0.0265,0.0455,0.782,0.3165,-0.5695,0.3945,0.2795,0.019,0.732
0.0925,0.0125,0.983,0.0015,-0.0125,0.9815,0.2335,0.04,0.949,0.0535,0.0285,0.9645,0.4395,-0.0405,0.8765
0.4125,0.08,0.659,0.001,0.0,0.713,0.137,0.062,0.6985,0.3385,-0.5285,0.379,0.657,-0.499,-0.1095
0.182,0.055,-0.004,-0.0115,0.01,-0.005,0.0565,0.0505,-0.0025,0.4985,0.0425,0.0125,0.5245,0.048,0.016
0.0815,-0.0575,0.334,0.033,0.035,0.3555,0.0265,0.0335,0.363,0.158,-0.0325,0.337,0.4145,-0.244,-0.0885
-0.188,0.56,-0.551,0.0,0.0315,-0.789,0.316,-0.241,-0.6925,0.4985,0.6975,-0.22,0.06,0.484,0.6925
-0.1315,0.536,-0.6395,0.014,0.026,-0.8515,0.2365,-0.219,-0.7985,0.513,0.777,0.116,0.048,0.6405,0.622
-0.8015,0.325,-0.081,0.0135,0.062,-0.83,0.3935,-0.656,-0.261,-0.312,0.4225,0.683,-0.2555,0.407,0.6915
-0.684,0.2815,0.436,0.0255,0.011,-0.7505,0.194,-0.7275,0.0325,-0.4035,0.5085,0.478,0.0655,0.0245,0.7595
-0.554,-0.041,0.219,-0.0165,-0.011,-0.2295,-0.1575,-0.215,0.1295,-0.2165,0.1425,0.2445,-0.255,0.0525,0.243
-0.5895,-0.268,0.056,0.008,0.0345,-0.3855,0.0135,-0.3845,0.0735,-0.2235,0.2125,0.3895,-0.1685,0.0535,0.405
-0.626,0.1165,-0.076,0.031,-0.0025,0.213,-0.2285,0.166,0.146,-0.149,-0.107,-0.064,-0.3245,0.027,-0.1395
-0.773,0.0465,0.4305,-0.004,0.0295,-0.8635,0.1155,-0.709,-0.4175,-0.1905,0.837,0.2135,-0.311,0.2535,0.7795
-0.8525,0.2265,0.108,0.019,0.0275,-0.68,-0.0125,-0.6545,0.179,0.0105,0.095,0.7165,-0.223,0.2,0.659
-0.728,-0.0885,-0.096,0.055,0.0435,-0.388,0.0015,-0.0315,0.4545,0.0535,0.0,0.437,-0.04,0.3065,0.3125
-0.1845,-0.346,-0.4835,0.0555,0.007,-0.66,-0.142,0.619,0.378,0.141,0.023,0.691,0.0675,0.624,0.3575
-0.011,-0.4905,-0.524,0.0345,0.0395,-0.786,0.2815,-0.2965,0.727,0.0325,0.132,0.8045,0.6455,0.4285,0.389
0.04,0.043,-0.8175,0.0375,0.0455,-0.8645,-0.1335,0.241,0.888,-0.1035,0.565,0.71,0.5075,0.715,0.264
-0.0125,-0.069,-0.55,0.008,0.0315,-0.6015,-0.082,0.1525,0.6515,0.023,0.039,0.6365,0.454,0.514,0.2885
-0.412,-0.722,0.064,0.0335,0.038,-0.8835,0.284,-0.278,0.8525,0.1605,-0.5875,0.636,0.0345,0.188,0.882
-0.508,0.0705,-0.3675,0.035,0.0175,-0.52,-0.483,0.328,0.3975,-0.0365,0.001,0.56,0.0365,0.021,0.544
-0.199,0.1475,-0.3695,0.003,0.024,-0.4315,0.1375,0.025,0.5085,-0.273,-0.1865,0.3935,-0.1435,0.3915,0.254
-0.4675,0.3145,-0.444,0.03,0.007,-0.677,-0.166,0.117,0.7175,-0.425,-0.4585,0.363,0.092,0.148,0.682
0.9695,0.0725,0.098,0.012,0.0095,-0.342,0.8415,-0.1175,0.1305,-0.374,-0.164,0.246,-0.088,0.043,0.3705
0.295,0.064,-0.0305,0.044,0.0815,-0.0455,0.9265,0.0125,0.001,0.9325,0.037,0.0255,-0.132,-0.003,0.087
0.0515,0.043,0.8265,0.0185,-0.017,0.8295,0.8475,0.058,0.4405,0.9015,-0.21,-0.208,-0.2605,0.572,-0.484
0.483,-0.6805,0.2525,0.028,0.034,0.8955,0.3855,0.188,-0.7535,0.8995,-0.2265,-0.2465,-0.257,0.6635,-0.457
-0.454,0.6325,-0.183,0.0135,0.0205,0.804,0.1355,0.125,-0.713,0.865,-0.185,0.3125,0.6365,0.5585,-0.1785
-0.3605,0.8565,0.295,0.0075,0.0365,0.981,0.0055,0.0115,-0.887,0.2945,-0.0665,0.919,0.452,0.4115,-0.719
0.2,0.183,-0.429,0.028,0.0235,-0.49,0.086,-0.3385,0.3935,0.057,0.0305,-0.4655,0.041,0.008,-0.463
0.0155,0.2955,-0.802,0.0235,0.021,-0.876,0.14,0.2515,0.8965,0.0695,0.0465,-0.8435,0.0495,-0.0225,-0.8275
0.148,0.649,0.4975,0.036,0.021,-0.73,0.0585,-0.0315,0.7825,-0.154,0.1605,-0.676,0.24,0.091,-0.673
-0.1665,0.57,0.181,-0.0385,0.012,-0.539,-0.301,0.372,0.431,0.0365,0.0285,-0.511,0.06,0.0185,-0.4965
-0.7865,0.1235,0.386,0.0155,0.041,-0.804,-0.457,0.596,0.4345,0.0715,0.0625,-0.773,0.044,-0.0015,-0.765
-0.349,0.7465,0.0345,0.011,-0.022,-0.708,-0.289,0.27,0.6825,0.8415,0.3545,-0.1795,0.8425,0.0265,-0.342
-0.244,0.7955,-0.3575,0.0265,0.0165,-0.888,-0.7835,0.3785,-0.1,0.73,0.3775,-0.4775,0.733,0.618,0.004
0.0875,0.3135,-0.6655,0.028,0.025,-0.754,-0.5665,0.593,-0.174,0.2015,0.1045,-0.725,0.38,0.667,-0.174
-0.1935,0.8185,-0.015,0.025,0.04,-0.7685,-0.3095,0.0965,0.784,0.1795,0.087,-0.728,0.2395,0.775,0.0745
-0.591,0.446,-0.252,0.004,0.0275,-0.6615,-0.658,0.4905,0.076,-0.015,-0.063,-0.6075,0.0185,0.6515,-0.201
-0.391,0.412,0.1055,0.0405,-0.006,-0.3755,-0.853,0.1215,0.008,-0.0275,-0.1485,-0.2935,0.296,0.3715,-0.037
-0.2675,0.3005,-0.461,0.0235,0.058,-0.607,-0.157,0.1275,-0.554,-0.099,-0.5405,0.047,0.6965,0.3995,0.1525
0.0155,0.05,-0.8,0.0385,0.048,-0.868,0.0675,0.0285,-0.8575,-0.0895,-0.635,-0.5085,0.808,0.4495,-0.247
0.211,-0.0585,0.251,-0.003,0.037,0.265,0.026,0.0325,0.271,-0.6425,0.04,0.1935,0.6625,-0.1775,-0.043
0.3165,0.619,-0.3755,0.0125,0.0215,-0.738,0.025,0.0065,-0.717,-0.3795,0.0505,-0.6105,-0.0105,-0.65,-0.2525
0.396,-0.1035,-0.1565,-0.0465,0.0015,0.309,-0.4585,0.0065,0.2675,-0.812,0.0415,0.1735,-0.39,0.2605,-0.0715
0.8205,-0.161,-0.1085,0.0275,-0.0085,0.4045,0.2555,-0.096,0.3865,-0.6265,0.012,0.291,0.052,0.2755,-0.27
0.113,-0.548,-0.154,-0.0015,0.014,0.666,0.1065,-0.228,0.5975,-0.1175,0.036,0.6385,-0.5865,-0.003,-0.425
0.277,-0.0695,-0.618,0.0305,0.0145,-0.6715,0.0775,0.018,-0.667,0.0075,0.019,-0.6605,-0.547,-0.4655,-0.1075
0.049,0.038,-0.7275,0.0275,0.048,-0.7755,0.037,0.0155,-0.7595,0.021,0.0295,-0.738,0.146,-0.684,-0.259
0.0535,0.046,-0.754,0.0535,0.0165,-0.813,-0.287,-0.353,-0.6015,-0.3245,0.044,-0.701,0.4195,-0.7015,0.2695
0.0615,0.059,-0.837,0.037,0.012,-0.8915,-0.0955,-0.0785,-0.8495,0.025,0.016,-0.865,0.525,-0.707,-0.1535
0.0085,0.053,-0.2045,0.0055,0.0265,-0.227,-0.192,0.041,-0.2155,0.052,0.0325,-0.221,0.8565,0.087,-0.101
-0.4695,0.056,-0.4605,0.0165,0.0125,-0.625,0.0315,0.0345,-0.6095,0.03,0.01,-0.605,0.196,-0.052,-0.5935
-0.305,0.034,-0.524,0.0405,0.0295,-0.6295,-0.1745,-0.0215,-0.5695,-0.295,0.033,-0.542,0.53,-0.033,-0.5255
0.045,0.041,0.964,0.022,-0.0045,0.966,0.0635,0.0405,0.955,-0.1675,0.0345,0.9215,0.046,0.0495,0.9355
0.015,0.04,0.7795,0.0055,0.013,0.7805,-0.2295,0.0925,0.751,0.0555,0.0135,0.7685,0.018,0.0825,0.757
0.021,0.0385,0.978,0.0205,0.047,0.983,-0.8865,0.098,0.088,0.045,0.028,0.954,0.03,0.0765,0.942
0.032,0.048,0.9755,0.0155,0.016,0.9835,-0.871,0.086,0.2765,-0.048,0.004,0.9615,0.401,-0.6535,0.515
0.1605,-0.0135,0.9125,0.0085,-0.0085,0.914,-0.8855,0.0845,0.121,0.0665,0.022,0.899,0.0775,-0.7565,0.399
0.041,0.046,0.9035,0.0125,0.0285,0.9105,-0.709,0.0555,0.565,-0.2625,0.3595,0.76,-0.1815,-0.8095,0.1795
0.9215,0.015,0.0255,-0.0645,0.005,0.019,-0.224,0.037,0.03,-0.5075,0.0405,-0.0075,0.597,0.0305,0.004
0.578,0.2135,0.518,0.0365,-0.002,0.656,-0.1215,0.049,0.636,-0.4035,0.3565,0.481,-0.649,-0.339,0.1125
0.7435,0.0445,0.055,0.026,0.0425,0.0345,0.05,0.0345,0.0315,-0.444,0.027,0.029,-0.875,0.015,0.04
0.8445,0.3225,0.04,0.0455,0.014,-0.5545,0.0035,-0.121,-0.4965,-0.5465,-0.335,-0.0735,-0.4225,0.0365,0.4875
0.789,-0.046,0.2225,-0.0795,0.0185,0.3295,-0.237,0.104,0.308,0.6,0.2205,0.078,-0.637,0.0375,-0.1715
0.352,0.303,0.041,-0.0635,0.015,-0.2415,-0.4755,-0.0565,-0.151,0.607,-0.1635,0.0905,-0.4815,0.0855,0.2225
0.3195,0.429,0.008,0.0305,0.0395,-0.3285,0.0515,-0.0155,-0.319,0.605,-0.2775,-0.034,-0.3755,0.324,0.1685
