0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.0125,0.041,0.9695,0.0335,0.0015,0.967,0.93,0.019,-0.286,0.0435,0.0245,0.936,0.029,-0.124,0.923
0.0305,0.0365,0.9835,0.0385,0.0075,0.983,0.966,0.054,0.2165,0.0305,-0.0085,0.9595,-0.0155,-0.1225,0.932
-0.295,0.4225,-0.2185,0.04,0.024,-0.472,0.4725,-0.131,-0.358,0.1215,-0.0855,-0.4425,-0.0665,0.3605,-0.3125
-0.5425,0.1085,0.0375,0.0605,0.045,-0.0205,0.511,-0.0255,-0.002,0.265,-0.007,-0.008,-0.117,0.0885,0.035
-0.5605,-0.154,0.1115,-0.004,0.011,0.307,0.652,0.1635,0.1825,0.157,0.095,0.2855,0.1115,-0.217,0.114
0.0295,-0.3225,0.899,-0.011,0.021,0.982,0.0525,0.0425,0.9605,0.003,0.3005,0.915,0.0615,-0.2805,0.892
0.0745,0.043,0.779,0.016,0.0225,0.7755,0.057,0.044,0.7705,0.0055,0.2035,0.742,0.0535,-0.131,0.7255
0.0325,0.0185,0.9765,-0.0065,0.0395,0.983,0.2185,0.046,0.959,0.0285,0.0055,0.9625,0.0805,-0.3225,0.8815
0.236,-0.133,0.669,0.0115,0.01,0.7045,0.111,0.0615,0.6945,0.062,0.2075,0.68,0.108,-0.6455,-0.03
0.1,0.0675,0.0495,0.023,0.0355,0.0285,0.023,0.0255,0.027,0.0745,0.018,0.033,0.2925,0.0485,0.0335
-0.1145,-0.0175,0.3305,0.0175,0.0285,0.3415,0.021,0.07,0.327,0.027,0.043,0.337,0.306,-0.2375,-0.0295
-0.399,0.3375,-0.567,0.0025,-0.0075,-0.802,0.2955,-0.1685,-0.723,0.12,-0.242,-0.7345,0.215,0.544,0.603
-0.3715,0.3065,-0.6595,0.0215,0.0385,-0.86,0.23,-0.134,-0.8335,0.166,-0.3295,-0.748,0.193,0.6795,0.5515
-0.7715,-0.061,-0.2455,0.051,0.0005,-0.8235,0.519,-0.514,-0.4565,0.2695,-0.433,-0.6145,-0.4345,0.437,0.6065
-0.8455,0.0105,0.223,0.028,0.0265,-0.7545,0.408,-0.6485,-0.2005,0.337,-0.298,-0.5895,-0.0365,0.078,0.765
-0.4455,-0.138,0.1555,0.031,0.0145,-0.257,0.1495,-0.2195,0.0315,0.422,-0.0875,-0.1985,-0.2475,0.1245,0.2585
-0.286,-0.3265,0.007,0.035,-0.005,-0.376,0.3035,-0.3525,-0.0555,0.4235,-0.169,-0.281,-0.201,0.1095,0.3765
-0.6375,0.155,-0.005,0.014,0.0235,0.195,0.04,0.1285,0.168,0.356,0.1005,0.1545,-0.182,-0.0615,-0.1115
-0.739,-0.313,0.2515,0.017,0.0415,-0.859,0.323,-0.5495,-0.582,0.267,-0.2905,-0.729,-0.2045,0.469,0.707
-0.826,-0.126,-0.0505,0.016,0.0405,-0.679,0.3025,-0.6405,-0.1045,0.4,-0.4015,-0.43,-0.1555,0.3315,0.618
-0.495,-0.2055,-0.159,0.021,0.0165,-0.3835,0.1895,-0.2485,0.3505,0.256,-0.2715,-0.226,-0.294,0.317,0.259
0.011,-0.2815,-0.533,0.0145,0.0405,-0.664,0.003,0.1325,0.71,0.2615,-0.477,-0.3935,-0.7895,0.132,0.299
0.169,-0.4425,-0.572,0.0305,0.032,-0.7695,0.6375,-0.4415,0.403,0.09,-0.5695,-0.5145,-0.34,0.6775,0.3335
0.0275,0.0525,-0.794,0.032,0.049,-0.859,0.3715,-0.141,0.8355,0.1545,-0.5185,-0.6395,-0.3525,0.769,0.232
0.0505,-0.0085,-0.5385,0.0225,0.032,-0.585,0.4215,-0.0765,0.565,0.136,-0.371,-0.3715,-0.3485,0.5275,0.22
-0.145,-0.811,-0.144,0.0295,0.0065,-0.8725,0.5705,-0.5245,0.5175,0.3075,-0.7375,-0.4235,-0.079,0.258,0.842
-0.376,-0.0615,-0.4045,0.014,0.016,-0.5355,0.0135,0.088,0.5945,0.2675,-0.3535,-0.2975,0.076,0.081,0.551
-0.236,0.112,-0.344,0.0165,-0.006,-0.3995,0.599,-0.081,0.353,0.349,-0.3335,-0.1715,0.312,0.394,0.19
-0.4865,0.072,-0.4825,0.0275,0.021,-0.6885,0.3955,-0.0215,0.681,0.1605,-0.5725,-0.2745,0.1535,0.2405,0.6505
0.6285,0.351,0.0365,0.0205,0.0265,-0.3365,0.9175,-0.126,-0.018,0.066,-0.289,-0.133,0.022,0.0525,0.379
0.11,0.09,-0.035,0.0435,0.0515,-0.056,0.832,0.015,-0.025,0.222,-0.0655,0.0285,0.305,0.049,0.1
0.0515,0.0385,0.851,-0.0035,-0.001,0.8495,0.7415,0.052,0.552,0.181,0.744,0.3315,0.563,-0.2075,-0.584
-0.151,-0.694,0.4425,0.0045,0.0095,0.8845,0.7315,0.3545,-0.469,0.162,0.7945,0.342,0.615,-0.2725,-0.5735
-0.2515,0.761,0.003,0.042,0.047,0.801,0.462,0.421,-0.517,0.4675,0.685,0.176,0.791,-0.2965,-0.339
-0.065,0.87,0.459,0.0235,0.025,0.9825,0.4755,0.3,-0.749,0.4835,0.872,0.023,0.4345,-0.2065,-0.8055
0.2105,0.539,-0.119,0.044,0.0595,-0.509,0.351,-0.4335,0.155,0.8315,-0.2035,0.1065,-0.188,0.105,-0.4655
-0.2355,0.814,-0.3335,0.041,0.0215,-0.867,0.04,-0.333,0.844,0.852,-0.4205,0.14,-0.205,0.1665,-0.78
0.008,0.258,0.775,0.0325,0.0215,-0.7315,0.375,-0.3925,0.5935,0.756,-0.432,0.0455,-0.339,0.2255,-0.6055
-0.1885,0.3825,0.4845,0.0105,0.018,-0.528,0.056,0.0175,0.6045,0.692,-0.335,0.099,-0.2155,0.108,-0.4825
-0.432,0.093,0.764,0.0,0.0115,-0.8,-0.0765,0.1275,0.845,0.533,-0.631,0.1415,0.2685,0.144,-0.7365
-0.379,0.536,0.4995,0.0295,0.0115,-0.707,0.2595,-0.0505,0.7405,0.647,-0.5175,-0.1415,0.7735,0.4015,-0.173
-0.435,0.8,0.314,0.024,0.038,-0.8765,-0.4815,0.2305,0.712,0.7755,-0.51,-0.094,0.7595,0.5345,0.2165
-0.076,0.754,-0.2065,0.0325,0.045,-0.7565,-0.444,0.3965,0.58,0.8535,-0.346,0.089,0.803,0.455,0.009
-0.246,0.658,0.553,0.051,0.035,-0.785,0.341,0.0,0.809,0.8725,-0.3375,0.1085,0.773,0.4385,0.25
-0.6675,0.461,0.254,0.021,0.043,-0.6555,-0.3765,0.2545,0.62,0.8865,-0.259,0.0885,0.109,-0.647,0.0065
-0.3345,0.248,0.3465,0.0345,0.006,-0.3705,-0.4925,0.062,0.359,0.852,-0.1505,0.0295,0.095,-0.3315,0.077
-0.5805,0.5235,-0.0365,0.047,0.0205,-0.587,-0.703,0.384,-0.026,0.7465,-0.314,-0.1675,0.073,-0.468,0.3155
-0.4195,0.591,-0.484,0.021,0.0215,-0.875,0.062,0.8695,-0.243,0.754,-0.524,-0.1055,0.1185,-0.838,0.035
0.133,-0.159,0.089,0.0375,-0.032,0.2855,-0.5585,-0.119,0.1135,0.787,0.1805,0.024,-0.724,0.094,-0.0825
0.1135,0.8085,0.1705,0.019,0.04,-0.7475,-0.047,0.7525,-0.207,0.3455,-0.68,0.0305,-0.841,-0.184,-0.071
0.084,0.0345,-0.231,0.0135,0.0235,0.299,-0.818,-0.0285,0.0265,0.1465,0.286,0.0605,-0.7325,0.1055,-0.1165
0.3725,-0.1085,-0.2875,0.0225,0.059,0.4165,0.1875,-0.3285,0.0285,0.2905,0.382,0.059,-0.414,0.059,-0.312
-0.0205,-0.281,-0.47,0.0015,0.0215,0.6525,-0.0535,-0.578,0.0265,-0.081,0.636,0.0055,-0.4035,0.104,-0.495
0.916,0.0235,-0.24,-0.0145,0.014,-0.6435,0.821,-0.293,-0.179,0.1195,-0.633,0.1145,-0.8385,-0.1715,0.0815
0.7255,0.3595,-0.4255,-0.0145,0.034,-0.759,0.621,-0.55,-0.1975,0.371,-0.6985,0.1055,-0.8285,-0.1985,-0.071
0.6685,0.4465,-0.4635,0.0015,0.013,-0.803,0.4395,-0.6925,0.1985,0.418,-0.691,0.005,-0.736,-0.176,0.4155
0.429,0.6665,-0.496,0.0285,0.044,-0.8855,0.1925,-0.8465,-0.116,0.4765,-0.76,0.109,-0.841,-0.245,0.072
-0.417,0.2245,-0.0975,0.115,0.013,-0.2205,-0.2495,-0.178,-0.0015,0.7155,-0.125,0.068,-0.8415,-0.0325,0.011
-0.8595,0.0225,-0.027,0.0905,0.022,-0.664,-0.251,-0.548,-0.1955,0.588,-0.482,0.1325,-0.3725,-0.0915,-0.541
-0.827,0.0375,-0.148,0.048,0.029,-0.6355,-0.085,-0.5615,-0.0295,0.637,-0.416,0.048,-0.622,-0.1415,-0.346
-0.1005,-0.661,0.59,0.018,0.0305,0.9635,-0.204,0.8745,0.3005,0.7985,0.5655,-0.03,-0.241,0.1595,0.866
0.179,-0.518,0.502,-0.0015,0.0085,0.789,-0.1125,0.759,0.1125,0.9035,0.3165,-0.1005,-0.225,0.116,0.725
0.494,-0.545,0.6165,0.0375,-0.0065,0.981,-0.148,0.5655,-0.6955,0.9355,0.33,-0.111,-0.2405,0.148,0.899
0.6355,-0.4125,0.634,0.0195,0.014,0.978,-0.137,0.6655,-0.63,0.828,0.5365,-0.1025,-0.815,0.3095,0.287
0.682,-0.447,0.5135,-0.0095,0.0165,0.9215,-0.138,0.571,-0.6595,0.8825,0.4265,-0.1045,-0.853,0.3135,0.133
0.767,-0.137,0.591,-0.006,0.039,0.9195,-0.208,0.792,-0.325,0.918,0.3635,0.0515,-0.3845,0.804,-0.081
0.845,0.0375,0.0615,0.054,0.035,0.0195,0.0545,0.0305,0.0275,0.7785,0.064,0.0255,-0.2695,0.0415,0.0025
0.9875,-0.004,0.097,-0.051,0.018,0.6375,-0.2485,0.5925,0.177,0.9585,0.188,0.0915,-0.3395,0.546,-0.093
0.865,0.0445,0.0305,0.096,0.008,0.0405,0.24,0.0065,0.034,0.974,0.029,0.0165,-0.3715,0.0175,0.03
0.4755,0.3885,0.372,0.0705,0.047,-0.524,0.653,-0.393,-0.0065,0.9475,0.0305,-0.1135,-0.1155,-0.1005,0.5185
0.75,-0.123,0.0035,-0.0155,0.0005,0.36,0.16,0.334,0.046,0.952,0.011,0.1,0.474,0.14,-0.2315
0.0735,0.2785,0.2565,0.0595,0.044,-0.2665,0.2485,-0.218,0.1445,0.9165,0.0065,-0.08,0.346,-0.0365,0.2765
