,Accuracy (Thresh 0.55),AUC ROC,MCC
Klasyczny SVM (Raw Data),0.5205479452054794,0.5039115646258503,0.0445156425003233
[Top5 #1] Kwantowy (Baseline),0.5185909980430529,0.5030071119356834,0.03566296878506435
[Top5 #1] Kwantowy (Zoptymalizowany),0.5244618395303327,0.5165275200989486,0.053927775343823196
[Top5 #2] Kwantowy (Baseline),0.5146771037181996,0.5013141620284477,0.03309488827970748
[Top5 #2] Kwantowy (Zoptymalizowany),0.5440313111545988,0.5419758812615956,0.08941718906855291
[Top5 #3] Kwantowy (Baseline),0.5244618395303327,0.5268784786641929,0.054705449436782703
[Top5 #3] Kwantowy (Zoptymalizowany),0.5146771037181996,0.5132807668521955,0.027797721892890037
[Top5 #4] Kwantowy (Baseline),0.49706457925636005,0.5049010513296227,-0.0019407146265073981
[Top5 #4] Kwantowy (Zoptymalizowany),0.5205479452054794,0.5332560296846012,0.046054320143625004
[Top5 #5] Kwantowy (Baseline),0.5185909980430529,0.5172232529375387,0.049609434546748134
[Top5 #5] Kwantowy (Zoptymalizowany),0.4892367906066536,0.47029993815708104,-0.016933321457960483
