Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2007-08-13,1.85044,1.85044,1.85044,1.85044
2007-08-14,1.8196,1.8196,1.8196,1.8196
2007-08-16,1.72729,1.72729,1.72729,1.72729
2007-08-17,1.75038,1.75038,1.75038,1.75038
2007-08-20,1.73877,1.73877,1.73877,1.73877
2007-08-21,1.75412,1.75412,1.75412,1.75412
2007-08-22,1.81193,1.81193,1.81193,1.81193
2007-08-23,1.8196,1.8196,1.8196,1.8196
2007-08-24,1.83109,1.83109,1.83109,1.83109
2007-08-27,1.78109,1.78109,1.78109,1.78109
2007-08-28,1.75412,1.75412,1.75412,1.75412
2007-08-29,1.80038,1.80038,1.80038,1.80038
2007-08-30,1.758,1.758,1.758,1.758
2007-08-31,1.84264,1.84264,1.84264,1.84264
2007-09-03,1.81574,1.81574,1.81574,1.81574
2007-09-04,1.8351,1.8351,1.8351,1.8351
2007-09-05,1.78109,1.78109,1.78109,1.78109
2007-09-06,1.74657,1.74657,1.74657,1.74657
2007-09-07,1.76574,1.76574,1.76574,1.76574
2007-09-10,1.71974,1.71974,1.71974,1.71974
2007-09-11,1.74271,1.74271,1.74271,1.74271
2007-09-12,1.79651,1.79651,1.79651,1.79651
2007-09-13,1.85044,1.85044,1.85044,1.85044
2007-09-14,1.83109,1.83109,1.83109,1.83109
2007-09-17,1.8351,1.8351,1.8351,1.8351
2007-09-18,1.85044,1.85044,1.85044,1.85044
2007-09-19,1.94644,1.94644,1.94644,1.94644
2007-09-20,1.9389,1.9389,1.9389,1.9389
2007-09-21,1.9505,1.9505,1.9505,1.9505
2007-09-24,1.89277,1.89277,1.89277,1.89277
2007-09-25,1.862,1.862,1.862,1.862
2007-09-26,1.87348,1.87348,1.87348,1.87348
2007-09-27,1.87734,1.87734,1.87734,1.87734
2007-09-28,1.8465,1.8465,1.8465,1.8465
2007-10-01,1.88116,1.88116,1.88116,1.88116
2007-10-02,1.90418,1.90418,1.90418,1.90418
2007-10-03,1.88502,1.88502,1.88502,1.88502
2007-10-04,1.89658,1.89658,1.89658,1.89658
2007-10-05,1.90044,1.90044,1.90044,1.90044
2007-10-08,1.92734,1.92734,1.92734,1.92734
2007-10-09,1.98888,1.98888,1.98888,1.98888
2007-10-10,1.96966,1.96966,1.96966,1.96966
2007-10-11,2.00044,2.00044,2.00044,2.00044
2007-10-12,1.98128,1.98128,1.98128,1.98128
2007-10-15,1.97734,1.97734,1.97734,1.97734
2007-10-16,1.90044,1.90044,1.90044,1.90044
2007-10-17,1.88883,1.88883,1.88883,1.88883
2007-10-18,1.88116,1.88116,1.88116,1.88116
2007-10-19,1.88116,1.88116,1.88116,1.88116
2007-10-22,1.88502,1.88502,1.88502,1.88502
2007-10-23,1.95418,1.95418,1.95418,1.95418
2007-10-24,1.95812,1.95812,1.95812,1.95812
2007-10-25,1.98508,1.98508,1.98508,1.98508
2007-10-26,1.96966,1.96966,1.96966,1.96966
2007-10-29,2.00811,2.00811,2.00811,2.00811
2007-10-30,1.99276,1.99276,1.99276,1.99276
2007-10-31,1.99276,1.99276,1.99276,1.99276
2007-11-02,1.99276,1.99276,1.99276,1.99276
2007-11-05,2.00044,2.00044,2.00044,2.00044
2007-11-06,2.03502,2.03502,2.03502,2.03502
2007-11-07,2.02353,2.02353,2.02353,2.02353
2007-11-08,2.00044,2.00044,2.00044,2.00044
2007-11-09,2.00811,2.00811,1.94644,1.97734
2007-11-12,1.96592,1.97734,1.88883,1.91199
2007-11-13,1.90044,1.96966,1.90044,1.96966
2007-11-14,1.97734,1.97734,1.90818,1.90818
2007-11-15,1.90418,1.9196,1.75412,1.75412
2007-11-16,1.73877,1.77728,1.73877,1.77728
2007-11-19,1.7889,1.7889,1.76193,1.77728
2007-11-20,1.79264,1.80038,1.77354,1.79651
