Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2014-12-03,0.999907,0.999907,0.999907,0.999907
2014-12-04,1.00827,1.00827,0.999907,1.00827
2014-12-05,1.00827,1.00827,0.975084,0.991617
2014-12-08,0.983352,0.999907,0.983352,0.983352
2014-12-09,0.991617,0.991617,0.958538,0.958538
2014-12-10,0.958538,0.958538,0.942079,0.942079
2014-12-11,0.942079,0.942079,0.942079,0.942079
2014-12-12,0.925536,0.925536,0.917263,0.925536
2014-12-15,0.900634,0.917263,0.900634,0.908993
2014-12-16,0.900634,0.900634,0.867633,0.867633
2014-12-17,0.917263,0.917263,0.892446,0.908993
2014-12-18,0.925536,0.950355,0.925536,0.950355
2014-12-19,0.958538,0.958538,0.942079,0.950355
2014-12-22,0.958538,0.958538,0.933807,0.950355
2014-12-23,0.950355,0.958538,0.950355,0.958538
2014-12-29,0.966809,0.966809,0.925536,0.950355
2015-01-02,0.925536,0.950355,0.925536,0.950355
2015-01-05,0.908993,0.950355,0.908993,0.950355
2015-01-07,0.892446,0.900634,0.892446,0.892446
2015-01-08,0.908993,0.933807,0.884177,0.892446
2015-01-09,0.842903,0.884177,0.776811,0.784996
2015-01-12,0.809813,0.809813,0.768537,0.793269
2015-01-13,0.826357,0.875991,0.793269,0.875991
2015-01-14,0.842903,0.892446,0.842903,0.851174
2015-01-15,0.875991,0.875991,0.859447,0.859447
2015-01-16,0.892446,0.892446,0.884177,0.884177
2015-01-19,0.900634,0.900634,0.867633,0.875991
2015-01-20,0.900634,0.900634,0.892446,0.892446
2015-01-21,0.892446,0.892446,0.859447,0.859447
2015-01-22,0.867633,0.917263,0.867633,0.917263
2015-01-23,0.917263,0.933807,0.917263,0.933807
2015-01-26,0.933807,0.933807,0.900634,0.900634
2015-01-27,0.917263,0.917263,0.900634,0.900634
2015-01-28,0.908993,0.908993,0.900634,0.900634
2015-01-29,0.875991,0.900634,0.875991,0.900634
2015-01-30,0.892446,0.892446,0.875991,0.875991
2015-02-02,0.875991,0.875991,0.851174,0.867633
2015-02-03,0.900634,0.908993,0.884177,0.908993
2015-02-04,0.908993,0.908993,0.875991,0.908993
2015-02-05,0.917263,0.917263,0.884177,0.900634
2015-02-06,0.900634,0.917263,0.900634,0.917263
2015-02-09,0.892446,0.908993,0.892446,0.908993
2015-02-10,0.900634,0.917263,0.892446,0.892446
2015-02-11,0.892446,0.892446,0.892446,0.892446
2015-02-12,0.892446,0.925536,0.892446,0.925536
2015-02-13,0.925536,0.942079,0.925536,0.942079
2015-02-16,0.950355,0.950355,0.908993,0.933807
