Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2007-08-13,2.8461,2.8461,2.8461,2.8461
2007-08-14,2.78877,2.78877,2.78877,2.78877
2007-08-16,2.59943,2.59943,2.59943,2.59943
2007-08-17,2.6969,2.6969,2.6969,2.6969
2007-08-20,2.70269,2.70269,2.70269,2.70269
2007-08-21,2.63951,2.63951,2.63951,2.63951
2007-08-22,2.81742,2.81742,2.81742,2.81742
2007-08-23,2.81742,2.81742,2.81742,2.81742
2007-08-24,2.84033,2.84033,2.84033,2.84033
2007-08-27,2.8461,2.8461,2.8461,2.8461
2007-08-28,2.84033,2.84033,2.84033,2.84033
2007-08-29,2.89187,2.89187,2.89187,2.89187
2007-08-30,2.81181,2.81181,2.81181,2.81181
2007-08-31,2.92062,2.92062,2.92062,2.92062
2007-09-03,2.88047,2.88047,2.88047,2.88047
2007-09-04,2.90914,2.90914,2.90914,2.90914
2007-09-05,2.84033,2.84033,2.84033,2.84033
2007-09-06,2.80032,2.80032,2.80032,2.80032
2007-09-07,2.75423,2.75423,2.75423,2.75423
2007-09-10,2.69128,2.69128,2.69128,2.69128
2007-09-11,2.72559,2.72559,2.72559,2.72559
2007-09-12,2.82321,2.82321,2.82321,2.82321
2007-09-13,2.87476,2.87476,2.87476,2.87476
2007-09-14,2.84033,2.84033,2.84033,2.84033
2007-09-17,2.89187,2.89187,2.89187,2.89187
2007-09-18,2.90914,2.90914,2.90914,2.90914
2007-09-19,3.05262,3.05262,3.05262,3.05262
2007-09-20,3.05832,3.05832,3.05832,3.05832
2007-09-21,3.00684,3.00684,3.00684,3.00684
2007-09-24,2.9781,2.9781,2.9781,2.9781
2007-09-25,2.92062,2.92062,2.92062,2.92062
2007-09-26,2.94936,2.94936,2.94936,2.94936
2007-09-27,2.96084,2.96084,2.96084,2.96084
2007-09-28,2.98379,2.98379,2.98379,2.98379
2007-10-01,2.9781,2.9781,2.9781,2.9781
2007-10-02,3.04114,3.04114,3.04114,3.04114
2007-10-03,3.01825,3.01825,3.01825,3.01825
2007-10-04,2.9781,2.9781,2.9781,2.9781
2007-10-05,2.9781,2.9781,2.9781,2.9781
2007-10-08,2.9781,2.9781,2.9781,2.9781
2007-10-09,3.01825,3.01825,3.01825,3.01825
2007-10-10,3.0355,3.0355,3.0355,3.0355
2007-10-11,3.05262,3.05262,3.05262,3.05262
2007-10-12,3.02395,3.02395,3.02395,3.02395
2007-10-15,3.02966,3.02966,3.02966,3.02966
2007-10-16,2.93209,2.93209,2.93209,2.93209
2007-10-17,2.9781,2.9781,2.9781,2.9781
2007-10-18,2.89765,2.89765,2.89765,2.89765
2007-10-19,2.95514,2.95514,2.95514,2.95514
2007-10-22,2.96663,2.96663,2.96663,2.96663
2007-10-23,3.05262,3.05262,3.05262,3.05262
2007-10-24,3.00107,3.00107,3.00107,3.00107
2007-10-25,3.0355,3.0355,3.0355,3.0355
2007-10-26,3.00684,3.00684,3.00684,3.00684
2007-10-29,3.02966,3.02966,3.02966,3.02966
2007-10-30,3.04114,3.04114,3.04114,3.04114
2007-10-31,3.00107,3.00107,3.00107,3.00107
2007-11-02,2.94936,2.94936,2.94936,2.94936
2007-11-05,2.95514,2.95514,2.95514,2.95514
2007-11-06,2.9781,2.9781,2.9781,2.9781
2007-11-07,2.91483,2.91483,2.91483,2.91483
2007-11-08,2.8518,2.8518,2.8518,2.8518
2007-11-09,2.93788,2.93788,2.81181,2.89765
2007-11-12,2.84033,2.89765,2.82891,2.82891
2007-11-13,2.82891,2.93209,2.82891,2.90914
2007-11-14,2.93788,2.93788,2.81181,2.81181
2007-11-15,2.82321,2.86914,2.76572,2.81181
2007-11-16,2.80595,2.81181,2.76003,2.78298
2007-11-19,2.80032,2.81742,2.77151,2.78877
2007-11-20,2.77721,2.82321,2.75423,2.82321
2007-11-21,2.77151,2.81181,2.77151,2.77721
2007-11-22,2.78877,2.82321,2.76003,2.81181
2007-11-23,2.81181,2.81742,2.79446,2.80032
2007-11-26,2.81181,2.81181,2.76003,2.78298
2007-11-27,2.75423,2.75423,2.70839,2.71987
2007-11-28,2.7141,2.76572,2.59365,2.59365
2007-11-29,2.6224,2.6224,2.5821,2.59365
2007-11-30,2.60513,2.63387,2.53625,2.53625
2007-12-03,2.59943,2.59943,2.53055,2.5821
2007-12-04,2.57061,2.59943,2.5535,2.59943
2007-12-05,2.61092,2.70269,2.61092,2.67395
2007-12-06,2.66825,2.74284,2.66825,2.66825
2007-12-07,2.71987,2.76572,2.6969,2.73135
2007-12-10,2.73135,2.80595,2.73135,2.76003
2007-12-11,2.76572,2.77721,2.75423,2.77151
2007-12-12,2.73135,2.78298,2.71987,2.77721
2007-12-13,2.73135,2.74284,2.66825,2.6969
2007-12-14,2.6969,2.6969,2.61654,2.63387
2007-12-17,2.60513,2.60513,2.53625,2.53625
2007-12-18,2.57061,2.6224,2.52484,2.5535
2007-12-19,2.57061,2.59943,2.5535,2.5535
2007-12-20,2.5535,2.59365,2.5535,2.59365
2007-12-21,2.62803,2.69128,2.61654,2.64535
2007-12-27,2.65677,2.73135,2.65677,2.73135
2007-12-28,2.68542,2.70839,2.63387,2.66246
2008-01-02,2.63951,2.66825,2.57647,2.57647
2008-01-03,2.5821,2.5821,2.53625,2.5535
2008-01-04,2.55914,2.56499,2.49032,2.52484
2008-01-07,2.51328,2.51328,2.45018,2.46165
2008-01-08,2.47892,2.48454,2.46165,2.47892
2008-01-09,2.44447,2.44447,2.37556,2.43299
2008-01-10,2.39267,2.39855,2.35261,2.37556
2008-01-11,2.32973,2.40416,2.32973,2.34121
2008-01-14,2.30669,2.30669,2.30669,2.30669
2008-01-15,2.26076,2.33543,2.26076,2.26076
2008-01-16,2.12876,2.28379,2.12876,2.18047
2008-01-17,2.23209,2.24356,2.13454,2.24356
2008-01-18,2.20343,2.30099,2.20343,2.30099
2008-01-21,2.26076,2.27231,2.08297,2.08297
2008-01-22,1.97957,2.20343,1.97957,2.14025
2008-01-23,2.18624,2.20343,2.10587,2.14025
2008-01-24,2.21483,2.26654,2.20343,2.26076
2008-01-25,2.27801,2.30669,2.25505,2.30099
2008-01-28,2.24927,2.2895,2.24927,2.26654
2008-01-29,2.27801,2.35839,2.27801,2.35839
2008-01-30,2.35261,2.35261,2.30669,2.32973
2008-01-31,2.30099,2.30099,2.23772,2.26076
